ID;coluna;Estimate;Std. Error;Pr(>|t|);APC;IC;
1;Água.Rasa;-0,011388988;0,005572707;0,060271593;-1,132437906;( -0.05  /  -2.21 );
2;Alto.de.Pinheiros;-0,035720531;0,012470341;0,012489025;-3,509008204;( -1.12  /  -5.84 );
3;Anhanguera;-0,003298677;0,004239306;0,449451149;-0,32932422;(  0.50  /  -1.15 );
4;Aricanduva;-0,017327572;0,00726732;0,031809686;-1,717831305;( -0.31  /  -3.11 );
5;Artur.Alvim;-0,016151541;0,005733478;0,01371196;-1,602180424;( -0.49  /  -2.70 );
6;Barra.Funda;-0,025046104;0,014056869;0,096482007;-2,473505242;(  0.25  /  -5.12 );
7;Bela.Vista;-0,02025042;0,004333756;0,000359272;-2,004675688;( -1.17  /  -2.83 );
8;Belém;-0,017776667;0,006956131;0,022870323;-1,761959397;( -0.41  /  -3.09 );
9;Bom.Retiro;-0,036683989;0,010471452;0,003512533;-3,601928434;( -1.60  /  -5.56 );
10;Brás;-0,021845983;0,007219615;0,009073026;-2,160908774;( -0.77  /  -3.54 );
11;Brasilândia;-0,016627388;0,005150289;0,006067456;-1,648991606;( -0.65  /  -2.64 );
12;Butantã;-0,020198684;0,0090756;0,042983783;-1,999605752;( -0.24  /  -3.73 );
13;Cachoeirinha;-0,015810937;0,008948318;0,099024771;-1,568660017;(  0.17  /  -3.28 );
14;Cambuci;-0,022384288;0,006045232;0,002364176;-2,21356184;( -1.05  /  -3.37 );
15;Campo.Belo;-0,026795739;0,004975438;9,61E-05;-2,643991844;( -1.69  /  -3.59 );
16;Campo.Grande;-0,024069619;0,007489426;0,006246549;-2,378225585;( -0.93  /  -3.80 );
17;Campo.Limpo;-0,012323409;0,006755598;0,089538093;-1,224778688;(  0.09  /  -2.52 );
18;Cangaiba;-0,017111309;0,004478135;0,001871303;-1,696574186;( -0.83  /  -2.56 );
19;Capão.Redondo;-0,019610044;0,007216625;0,016680146;-1,941901822;( -0.55  /  -3.32 );
20;Carrão;-0,021579682;0,004875633;0,000575286;-2,134850665;( -1.20  /  -3.07 );
21;Casa.Verde;-0,020775527;0,005280574;0,00149716;-2,056120298;( -1.04  /  -3.06 );
22;Cidade.Ademar;-0,032874751;0,007405544;0,0005609;-3,234024988;( -1.82  /  -4.63 );
23;Cidade.Dutra;-0,029452655;0,006960558;0,000837902;-2,902315262;( -1.57  /  -4.22 );
24;Cidade.Lider;-0,007026575;0,005690377;0,23722242;-0,700194655;(  0.41  /  -1.80 );
25;Cidade.Tiradentes;-0,020333722;0,010807455;0,080869125;-2,012838588;(  0.08  /  -4.07 );
26;Consolação;-0,012515655;0,006035388;0,057035799;-1,243766006;( -0.07  /  -2.41 );
27;Cursino;-0,02553251;0,007150048;0,003070467;-2,520931223;( -1.15  /  -3.88 );
28;Ermelino.Matarazzo;-0,021220886;0,004207085;0,000179269;-2,099730756;( -1.29  /  -2.90 );
29;Freguesia.do.Ó;-0,011970555;0,006342075;0,080001954;-1,189919284;(  0.05  /  -2.41 );
30;Grajaú;-0,021436053;0,009865444;0,047451498;-2,120793404;( -0.21  /  -4.00 );
31;Guaianases;-0,023354272;0,00882325;0,019144593;-2,308367133;( -0.60  /  -3.98 );
32;Iguatemi;-0,019301755;0,006646465;0,011548941;-1,91166685;( -0.63  /  -3.18 );
33;Ipiranga;-0,020920738;0,002841137;3,55E-06;-2,070341714;( -1.52  /  -2.61 );
34;Itaim.Bibi;-0,013790061;0,008012474;0,107250611;-1,369541351;(  0.19  /  -2.91 );
35;Itaim.Paulista;-0,023174609;0,005334697;0,000673582;-2,290814007;( -1.26  /  -3.31 );
36;Itaquera;-0,012564213;0,007272487;0,106037398;-1,248561272;(  0.17  /  -2.65 );
37;Jabaquara;-0,026205398;0,005277796;0,000207492;-2,586501587;( -1.57  /  -3.59 );
38;Jaguara;-0,010229259;0,008286269;0,237343071;-1,017711795;(  0.60  /  -2.61 );
39;Jaguaré;-0,018174436;0,004933107;0,002452994;-1,801027652;( -0.85  /  -2.75 );
40;Jaraguá;-0,016503933;0,003287541;0,000187388;-1,636848908;( -1.00  /  -2.27 );
41;Jardim.Ângela;-0,018247931;0,00923724;0,068267241;-1,808244585;( -0.01  /  -3.57 );
42;Jardim.Helena;-0,021484282;0,00448233;0,00028625;-2,125513829;( -1.26  /  -2.98 );
43;Jardim.Paulista;-0,0095417;0,008071583;0,256841903;-0,949632202;(  0.63  /  -2.50 );
44;Jardim.São.Luís;-0,017545173;0,007914859;0,043705853;-1,739215223;( -0.20  /  -3.25 );
45;Jaçanã;-0,020274345;0,004315176;0,000342236;-2,007020205;( -1.17  /  -2.83 );
46;José.Bonifácio..distrito.da.capital.;-0,013042108;0,010076426;0,216498449;-1,295742851;(  0.67  /  -3.23 );
47;Lajeado;-0,015252744;0,01113815;0,192437194;-1,513700995;(  0.66  /  -3.64 );
48;Lapa;-0,020628121;0,011174226;0,0861347;-2,04168169;(  0.13  /  -4.16 );
49;Liberdade;-0,021207323;0,005778813;0,002523653;-2,098402891;( -0.98  /  -3.20 );
50;Limão;-0,015049321;0,006601711;0,038820988;-1,493664607;( -0.21  /  -2.76 );
51;Mandaqui;-0,016633248;0,003628588;0,000425265;-1,649567884;( -0.95  /  -2.35 );
52;Marsilac;-0,033785673;0,020598289;0,123227158;-3,322131096;(  0.66  /  -7.15 );
53;Moema;-0,020094818;0,00618257;0,005809962;-1,98942624;( -0.79  /  -3.17 );
54;Mooca;-0,026935538;0,00505313;0,000106141;-2,657601123;( -1.69  /  -3.62 );
55;Morumbi;-0,012675431;0,008465122;0,15650029;-1,259543628;(  0.39  /  -2.88 );
56;Parelheiros;-0,03343049;0,004380089;2,36E-06;-3,287786685;( -2.45  /  -4.11 );
57;Pari;-0,008992574;0,010286584;0,396755998;-0,895226207;(  1.12  /  -2.87 );
58;Parque.do.Carmo;-0,017342595;0,004809745;0,002865774;-1,719307746;( -0.79  /  -2.64 );
59;Pedreira..distrito.da.capital.;-0,033358693;0,004180187;1,41E-06;-3,280842711;( -2.49  /  -4.07 );
60;Penha;-0,011944181;0,004161821;0,012354135;-1,187313194;( -0.38  /  -1.99 );
61;Perdizes;-0,018728586;0,008720267;0,049728827;-1,855429534;( -0.16  /  -3.52 );
62;Perus;-0,017388316;0,004528153;0,00180258;-1,723801128;( -0.85  /  -2.59 );
63;Pinheiros;-0,023692319;0,005662118;0,000918053;-2,341385918;( -1.25  /  -3.42 );
64;Pirituba;-0,015574903;0,005359665;0,011506015;-1,545424165;( -0.51  /  -2.57 );
65;Ponte.Rasa;-0,00853238;0,006902106;0,236723879;-0,849608234;(  0.50  /  -2.18 );
66;Raposo.Tavares;-0,01770421;0,003508668;0,000178684;-1,754841148;( -1.08  /  -2.43 );
67;República;-0,015640951;0,007711053;0,061989016;-1,551926679;( -0.05  /  -3.03 );
68;Rio.Pequeno;-0,013124872;0,007636234;0,10768086;-1,303911677;(  0.18  /  -2.77 );
69;Sacomã;-0,029032485;0,003703915;1,74E-06;-2,861509117;( -2.15  /  -3.56 );
70;Santa.Cecília;-0,019099403;0,006025792;0,006820518;-1,89181651;( -0.73  /  -3.04 );
71;Santana;-0,012735927;0,004362001;0,011196422;-1,265516789;( -0.42  /  -2.11 );
72;Santo.Amaro;-0,039764526;0,006435635;2,40E-05;-3,898429372;( -2.68  /  -5.10 );
73;São.Domingos;-0,021303088;0,00689482;0,007993888;-2,107778045;( -0.78  /  -3.42 );
74;São.Lucas;-0,017185582;0,008753024;0,069780613;-1,703875203;(  0.00  /  -3.38 );
75;São.Mateus;-0,021074942;0,006283012;0,004723629;-2,085441724;( -0.87  /  -3.28 );
76;São.Miguel;-0,018161728;0,005809916;0,007438265;-1,799779813;( -0.68  /  -2.91 );
77;São.Rafael;-0,016817732;0,011186644;0,154962042;-1,667710388;(  0.51  /  -3.80 );
78;Sapopemba;-0,020416128;0,00866393;0,033548236;-2,02091304;( -0.34  /  -3.67 );
79;Saúde;-0,022476658;0,004640876;0,000260563;-2,222594007;( -1.33  /  -3.11 );
80;Sé;-0,031560901;0,008765692;0,00289559;-3,106805404;( -1.43  /  -4.76 );
81;Socorro..distrito.da.capital.;-0,017225559;0,003687526;0,000360236;-1,707804679;( -0.99  /  -2.42 );
82;Tatuapé;-0,016179697;0,004973136;0,005773293;-1,604950916;( -0.64  /  -2.56 );
83;Tremembé..distrito.da.capital.;-0,01755342;0,002545085;7,36E-06;-1,740025588;( -1.25  /  -2.23 );
84;Tucuruvi;-0,024243341;0,00494232;0,000232009;-2,395183217;( -1.45  /  -3.34 );
85;Vila.Andrade;-0,019020784;0,00854089;0,042868949;-1,884103027;( -0.23  /  -3.51 );
86;Vila.Curuçá;-0,016663646;0,010067713;0,120128159;-1,652557551;(  0.31  /  -3.57 );
87;Vila.Formosa;-0,020713259;0,005787008;0,003020219;-2,050021279;( -0.93  /  -3.15 );
88;Vila.Guilherme;-0,022953133;0,007181094;0,006467598;-2,269171347;( -0.88  /  -3.64 );
89;Vila.Jacuí;-0,011360648;0,011004992;0,319427921;-1,12963592;(  1.03  /  -3.24 );
90;Vila.Leopoldina;-0,023487337;0,013084879;0,094266229;-2,321365626;(  0.22  /  -4.79 );
91;Vila.Maria;-0,014494615;0,006227596;0,035451152;-1,439007387;( -0.23  /  -2.63 );
92;Vila.Mariana;-0,009998257;0,005280811;0,079170553;-0,994844029;(  0.04  /  -2.01 );
93;Vila.Matilde;-0,0168813;0,003278203;0,000147614;-1,673960916;( -1.04  /  -2.30 );
94;Vila.Medeiros;-0,021359197;0,008565568;0,025782862;-2,113270462;( -0.46  /  -3.74 );
95;Vila.Prudente;-0,019894541;0,006941788;0,012452816;-1,969795069;( -0.63  /  -3.29 );
96;Vila.Sônia;-0,018658746;0,003209246;4,49E-05;-1,848574912;( -1.23  /  -2.46 );
